
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 15:00:20
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 6)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 6 (802.11ax)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Single-Link (Non-MLO)
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 1024-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 650 meter
=======================================================

[INFO] Waktu: 14.6s | Jarak: 145 m | RSSI: -59.514 dBm | Tput: 1068.32 Mbps | Delay: 148.328 ms | Jitter: 0.0158273 ms | Drop: 66750
[INFO] Waktu: 14.8s | Jarak: 147 m | RSSI: -59.7519 dBm | Tput: 1065.85 Mbps | Delay: 148.29 ms | Jitter: 0.0158218 ms | Drop: 66813
[INFO] Waktu: 15s | Jarak: 149 m | RSSI: -59.9867 dBm | Tput: 1070.79 Mbps | Delay: 149.001 ms | Jitter: 0.0158946 ms | Drop: 66774
[INFO] Waktu: 15.2s | Jarak: 151 m | RSSI: -60.2183 dBm | Tput: 1071.73 Mbps | Delay: 148.081 ms | Jitter: 0.0157853 ms | Drop: 66706
[INFO] Waktu: 15.4s | Jarak: 153 m | RSSI: -60.4469 dBm | Tput: 1072.56 Mbps | Delay: 148.087 ms | Jitter: 0.01582 ms | Drop: 66697
[INFO] Waktu: 15.6s | Jarak: 155 m | RSSI: -60.6725 dBm | Tput: 1073.03 Mbps | Delay: 148.192 ms | Jitter: 0.0157718 ms | Drop: 66740
[INFO] Waktu: 15.8s | Jarak: 157 m | RSSI: -60.8952 dBm | Tput: 1083.33 Mbps | Delay: 146.945 ms | Jitter: 0.0156026 ms | Drop: 66487
[INFO] Waktu: 16s | Jarak: 159 m | RSSI: -61.1151 dBm | Tput: 1075.56 Mbps | Delay: 147.388 ms | Jitter: 0.0156066 ms | Drop: 66696
[INFO] Waktu: 16.2s | Jarak: 161 m | RSSI: -61.3323 dBm | Tput: 1075.74 Mbps | Delay: 147.773 ms | Jitter: 0.0157471 ms | Drop: 66616
[INFO] Waktu: 16.4s | Jarak: 163 m | RSSI: -61.5468 dBm | Tput: 1073.26 Mbps | Delay: 147.513 ms | Jitter: 0.0157091 ms | Drop: 66698
[INFO] Waktu: 16.6s | Jarak: 165 m | RSSI: -61.7586 dBm | Tput: 1073.26 Mbps | Delay: 148.287 ms | Jitter: 0.0157992 ms | Drop: 66736
[INFO] Waktu: 16.8s | Jarak: 167 m | RSSI: -61.9679 dBm | Tput: 1070.79 Mbps | Delay: 147.988 ms | Jitter: 0.0157939 ms | Drop: 66743
[INFO] Waktu: 17s | Jarak: 169 m | RSSI: -62.1747 dBm | Tput: 1073.26 Mbps | Delay: 148.242 ms | Jitter: 0.0158074 ms | Drop: 66675
[INFO] Waktu: 17.2s | Jarak: 171 m | RSSI: -62.3791 dBm | Tput: 1070.73 Mbps | Delay: 147.656 ms | Jitter: 0.0157771 ms | Drop: 66750
[INFO] Waktu: 17.4s | Jarak: 173 m | RSSI: -62.5811 dBm | Tput: 1075.5 Mbps | Delay: 147.785 ms | Jitter: 0.0157321 ms | Drop: 66673
[INFO] Waktu: 17.6s | Jarak: 175 m | RSSI: -62.7808 dBm | Tput: 1070.09 Mbps | Delay: 148.41 ms | Jitter: 0.0158925 ms | Drop: 66745
[INFO] Waktu: 17.8s | Jarak: 177 m | RSSI: -62.9782 dBm | Tput: 1078.98 Mbps | Delay: 147.212 ms | Jitter: 0.0156707 ms | Drop: 66580
[INFO] Waktu: 18s | Jarak: 179 m | RSSI: -63.1734 dBm | Tput: 1068.97 Mbps | Delay: 147.932 ms | Jitter: 0.0158635 ms | Drop: 66759
[INFO] Waktu: 18.2s | Jarak: 181 m | RSSI: -63.3664 dBm | Tput: 1063.37 Mbps | Delay: 148.403 ms | Jitter: 0.0154422 ms | Drop: 66905
[INFO] Waktu: 18.4s | Jarak: 183 m | RSSI: -63.5573 dBm | Tput: 1037.64 Mbps | Delay: 150.874 ms | Jitter: 0.0163621 ms | Drop: 67285
[INFO] Waktu: 18.6s | Jarak: 185 m | RSSI: -63.7523 dBm | Tput: 1035.99 Mbps | Delay: 151.862 ms | Jitter: 0.0164741 ms | Drop: 67329
[INFO] Waktu: 18.8s | Jarak: 187 m | RSSI: -63.9329 dBm | Tput: 1034.76 Mbps | Delay: 152.551 ms | Jitter: 0.0165458 ms | Drop: 67329
[INFO] Waktu: 19s | Jarak: 189 m | RSSI: -64.1177 dBm | Tput: 1038.17 Mbps | Delay: 151.954 ms | Jitter: 0.0166318 ms | Drop: 67336
[INFO] Waktu: 19.2s | Jarak: 191 m | RSSI: -64.3006 dBm | Tput: 1038.53 Mbps | Delay: 151.185 ms | Jitter: 0.016471 ms | Drop: 67261
[INFO] Waktu: 19.4s | Jarak: 193 m | RSSI: -64.4815 dBm | Tput: 1043.06 Mbps | Delay: 151.587 ms | Jitter: 0.0166554 ms | Drop: 67237
[INFO] Waktu: 19.6s | Jarak: 195 m | RSSI: -64.6606 dBm | Tput: 974.346 Mbps | Delay: 156.627 ms | Jitter: 0.0172229 ms | Drop: 68336
[INFO] Waktu: 19.8s | Jarak: 197 m | RSSI: -64.8379 dBm | Tput: 976.819 Mbps | Delay: 159.224 ms | Jitter: 0.0178987 ms | Drop: 68335
[INFO] Waktu: 20s | Jarak: 199 m | RSSI: -65.0134 dBm | Tput: 976.701 Mbps | Delay: 158.895 ms | Jitter: 0.0178751 ms | Drop: 68371
[INFO] Waktu: 20.2s | Jarak: 201 m | RSSI: -52.408 dBm | Tput: 1297.19 Mbps | Delay: 135.582 ms | Jitter: 0.0141942 ms | Drop: 62903
[INFO] Waktu: 20.4s | Jarak: 203 m | RSSI: -52.494 dBm | Tput: 1299.6 Mbps | Delay: 127.349 ms | Jitter: 0.0128096 ms | Drop: 62836
[INFO] Waktu: 20.6s | Jarak: 205 m | RSSI: -52.5792 dBm | Tput: 1299.25 Mbps | Delay: 127.589 ms | Jitter: 0.0122683 ms | Drop: 62870
[INFO] Waktu: 20.8s | Jarak: 207 m | RSSI: -52.6635 dBm | Tput: 1298.89 Mbps | Delay: 127.512 ms | Jitter: 0.0120991 ms | Drop: 62868
[INFO] Waktu: 21s | Jarak: 209 m | RSSI: -52.747 dBm | Tput: 1294.54 Mbps | Delay: 128.123 ms | Jitter: 0.0126839 ms | Drop: 62937
[INFO] Waktu: 21.2s | Jarak: 211 m | RSSI: -52.8298 dBm | Tput: 1297.19 Mbps | Delay: 127.637 ms | Jitter: 0.012715 ms | Drop: 62903
[INFO] Waktu: 21.4s | Jarak: 213 m | RSSI: -52.9117 dBm | Tput: 1248.96 Mbps | Delay: 129.997 ms | Jitter: 0.0129954 ms | Drop: 63674
[INFO] Waktu: 21.6s | Jarak: 215 m | RSSI: -52.9929 dBm | Tput: 1238.84 Mbps | Delay: 132.837 ms | Jitter: 0.0134101 ms | Drop: 63883
[INFO] Waktu: 21.8s | Jarak: 217 m | RSSI: -53.0733 dBm | Tput: 1246.37 Mbps | Delay: 131.297 ms | Jitter: 0.0132674 ms | Drop: 63758
[INFO] Waktu: 22s | Jarak: 219 m | RSSI: -53.153 dBm | Tput: 1241.43 Mbps | Delay: 131.833 ms | Jitter: 0.0133529 ms | Drop: 63883
[INFO] Waktu: 22.2s | Jarak: 221 m | RSSI: -53.232 dBm | Tput: 1238.95 Mbps | Delay: 132.049 ms | Jitter: 0.0133525 ms | Drop: 63843
[INFO] Waktu: 22.4s | Jarak: 223 m | RSSI: -53.3102 dBm | Tput: 1246.37 Mbps | Delay: 131.519 ms | Jitter: 0.0132795 ms | Drop: 63764
